treino,exercicio,series,repeticoes,carga,descanso,series_tags
Treino A - Peito/Triceps,Supino reto com barra,5,10,40,90,AP
Treino A - Peito/Triceps,Supino inclinado halteres,3,12,18,75,
Treino A - Peito/Triceps,Crucifixo na maquina,3,15,30,60,
Treino A - Peito/Triceps,Triceps na polia,4,12,25,60,
Treino A - Peito/Triceps,Triceps frances,3,12,12,60,
Treino B - Costas/Biceps,Puxada frente,4,10,50,90,A
Treino B - Costas/Biceps,Remada curvada,4,10,40,90,
Treino B - Costas/Biceps,Remada unilateral,3,12,22,60,
Treino B - Costas/Biceps,Rosca direta,4,12,14,60,
Treino B - Costas/Biceps,Rosca martelo,3,12,12,60,
Treino C - Pernas,Agachamento livre,4,10,60,120,AP
Treino C - Pernas,Leg press,4,12,120,90,
Treino C - Pernas,Cadeira extensora,3,15,45,60,
Treino C - Pernas,Mesa flexora,3,12,40,60,
Treino C - Pernas,Panturrilha em pe,4,20,80,45,
